Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
60005542;9,300491421;59,9862931;60005542 210100 - Virke Landsoverenskomsten
50303512;16,12541042;69,32134723;50303512 210100 - Virke Landsoverenskomsten
50006758;14,13824065;66,31075635;50006758 210100 - Virke Landsoverenskomsten
50302900;5,32256195;60,39365594;50302900 210200 - PU Virke Landsoverenskomsten
50306577;12,0104349;60,61136941;50306577 210100 - Virke Landsoverenskomsten
50321037;11,38477684;62,57510045;50321037 210200 - PU Virke Landsoverenskomsten
50312275;10,18976437;59,14122532;50312275 210200 - PU Virke Landsoverenskomsten
50323629;15,39340758;67,10276361;50323629 210200 - PU Virke Landsoverenskomsten
50351209;10,40140051;63,35088177;50351209 210200 - PU Virke Landsoverenskomsten
50344774;5,32410222;60,46511825;50344774 210100 - Virke Landsoverenskomsten
50352801;6,43077812;59,32497612;50352801 210100 - Virke Landsoverenskomsten
50345783;7,78107556;63,11047864;50345783 210100 - Virke Landsoverenskomsten
50352460;10,62549933;63,67298961;50352460 210100 - Virke Landsoverenskomsten
50325581;11,00733283;59,94728603;50325581 210100 - Virke Landsoverenskomsten
50301531;12,21018216;65,47324744;50301531 210100 - Virke Landsoverenskomsten
50342503;5,32315898;60,47040789;50342503 210100 - Virke Landsoverenskomsten
50342381;5,35906993;60,35660491;50342381 210100 - Virke Landsoverenskomsten
60000551;11,18459955;60,15164025;60000551 210100 - Virke Landsoverenskomsten
60003509;6,12462338;62,19934376;60003509 210100 - Virke Landsoverenskomsten
60006844;5,72177217;58,87626535;60006844 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50341613;10,44543396;63,44485753;50341613 210100 - Virke Landsoverenskomsten
60006686;9,08825665;59,29574949;60006686 210100 - Virke Landsoverenskomsten
50303460;10,7094508;59,92807679;50303460 210100 - Virke Landsoverenskomsten
50340435;11,00733283;59,94728603;50340435 210100 - Virke Landsoverenskomsten
50305956;10,72221952;59,92554026;50305956 210100 - Virke Landsoverenskomsten
50006834;18,98300968;69,67681761;50006834 210100 - Virke Landsoverenskomsten
50006603;8,153356084;60,62233622;50006603 210100 - Virke Landsoverenskomsten
50006386;9,35583828;60,24632995;50006386 210100 - Virke Landsoverenskomsten
